,Año,Mes,Consumo,Cargo fijo,Cargo variable,Precio servicio electrico,Dias,Contri municipal %,IVA %,Imp Sta Cruz %,Coef,Contribucion,subsidio,Total,Tipo,Contribucion comentario,Unnamed: 16,Precio kWh,Dia,fecha,periodo
0,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-31,mensual
1,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-30,mensual
2,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-29,mensual
3,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-28,mensual
4,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-27,mensual
5,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-26,mensual
6,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-25,mensual
7,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-24,mensual
8,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-23,mensual
9,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-22,mensual
10,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-21,mensual
11,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-20,mensual
12,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-19,mensual
13,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-18,mensual
14,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-17,mensual
15,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-16,mensual
16,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-15,mensual
17,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-14,mensual
18,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-13,mensual
19,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-12,mensual
20,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-11,mensual
21,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-10,mensual
22,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-09,mensual
23,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-08,mensual
24,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-07,mensual
25,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-06,mensual
26,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-05,mensual
27,,,222,54.09,331.36,385.45,59,6.383,21,0,,,0,490.9977735,,,,,,2021-12-04,mensual
