,Fecha,T_mean
0,2005-01-01,28.12
1,2005-01-02,27.43
2,2005-01-03,28.12
3,2005-01-04,27.9
4,2005-01-05,28.44
5,2005-01-06,29.58
6,2005-01-07,28.97
7,2005-01-08,28.07
8,2005-01-09,27.84
9,2005-01-10,23.26
10,2005-01-11,26.69
11,2005-01-12,28.93
12,2005-01-13,22.88
13,2005-01-14,25.06
14,2005-01-15,22.95
15,2005-01-16,25.09
16,2005-01-17,26.27
17,2005-01-18,22.06
18,2005-01-19,23.99
19,2005-01-20,19.28
20,2005-01-21,22.8
21,2005-01-22,24.52
22,2005-01-23,25.43
23,2005-01-24,24.16
24,2005-01-25,19.46
25,2005-01-26,21.65
26,2005-01-27,23.48
27,2005-01-28,26.33
28,2005-01-29,26.96
29,2005-01-30,21.48
30,2005-01-31,15.44
31,2005-02-01,15.19
32,2005-02-02,16.73
33,2005-02-03,19.0
34,2005-02-04,21.18
35,2005-02-05,22.73
36,2005-02-06,24.85
37,2005-02-07,23.55
38,2005-02-08,25.03
39,2005-02-09,25.88
40,2005-02-10,22.0
41,2005-02-11,21.44
42,2005-02-12,22.61
43,2005-02-13,23.24
44,2005-02-14,23.72
45,2005-02-15,22.01
46,2005-02-16,22.68
47,2005-02-17,23.49
48,2005-02-18,23.32
49,2005-02-19,24.38
50,2005-02-20,25.09
51,2005-02-21,27.2
52,2005-02-22,26.57
53,2005-02-23,27.55
54,2005-02-24,27.66
55,2005-02-25,25.01
56,2005-02-26,23.4
57,2005-02-27,24.21
58,2005-02-28,19.67
59,2005-03-01,17.83
60,2005-03-02,19.51
61,2005-03-03,21.72
62,2005-03-04,23.44
63,2005-03-05,24.9
64,2005-03-06,26.3
65,2005-03-07,24.39
66,2005-03-08,17.87
67,2005-03-09,16.74
68,2005-03-10,21.63
69,2005-03-11,23.48
70,2005-03-12,20.21
71,2005-03-13,20.26
72,2005-03-14,21.18
73,2005-03-15,21.33
74,2005-03-16,22.83
75,2005-03-17,24.29
76,2005-03-18,19.5
77,2005-03-19,18.63
78,2005-03-20,21.45
79,2005-03-21,17.96
80,2005-03-22,16.56
81,2005-03-23,18.43
82,2005-03-24,18.87
83,2005-03-25,20.15
84,2005-03-26,21.11
85,2005-03-27,23.5
86,2005-03-28,22.35
87,2005-03-29,19.65
88,2005-03-30,15.08
89,2005-03-31,17.05
90,2005-04-01,18.93
91,2005-04-02,15.01
92,2005-04-03,14.01
93,2005-04-04,15.97
94,2005-04-05,17.68
95,2005-04-06,20.76
96,2005-04-07,18.38
97,2005-04-08,14.53
98,2005-04-09,17.36
99,2005-04-10,19.51
100,2005-04-11,18.25
101,2005-04-12,13.85
102,2005-04-13,14.32
103,2005-04-14,15.51
104,2005-04-15,15.87
105,2005-04-16,15.67
106,2005-04-17,17.55
107,2005-04-18,19.84
108,2005-04-19,18.59
109,2005-04-20,12.7
110,2005-04-21,14.49
111,2005-04-22,17.19
112,2005-04-23,18.04
113,2005-04-24,10.68
114,2005-04-25,8.94
115,2005-04-26,10.2
116,2005-04-27,10.76
117,2005-04-28,12.89
118,2005-04-29,14.29
119,2005-04-30,14.9
120,2005-05-01,16.48
121,2005-05-02,17.03
122,2005-05-03,18.51
123,2005-05-04,19.31
124,2005-05-05,14.46
125,2005-05-06,11.73
126,2005-05-07,10.98
127,2005-05-08,12.43
128,2005-05-09,15.64
129,2005-05-10,16.45
130,2005-05-11,12.46
131,2005-05-12,14.13
132,2005-05-13,14.62
133,2005-05-14,11.8
134,2005-05-15,11.73
135,2005-05-16,11.47
136,2005-05-17,12.76
137,2005-05-18,15.2
138,2005-05-19,13.0
139,2005-05-20,7.58
140,2005-05-21,6.98
141,2005-05-22,9.33
142,2005-05-23,11.82
143,2005-05-24,11.73
144,2005-05-25,9.01
145,2005-05-26,12.87
146,2005-05-27,14.8
147,2005-05-28,16.77
148,2005-05-29,16.58
149,2005-05-30,10.13
150,2005-05-31,13.68
151,2005-06-01,19.6
152,2005-06-02,20.71
153,2005-06-03,13.21
154,2005-06-04,14.48
155,2005-06-05,15.3
156,2005-06-06,15.19
157,2005-06-07,20.49
158,2005-06-08,12.46
159,2005-06-09,12.09
160,2005-06-10,17.57
161,2005-06-11,11.0
162,2005-06-12,10.33
163,2005-06-13,9.8
164,2005-06-14,7.34
165,2005-06-15,11.44
166,2005-06-16,14.0
167,2005-06-17,14.44
168,2005-06-18,10.22
169,2005-06-19,8.24
170,2005-06-20,6.13
171,2005-06-21,6.42
172,2005-06-22,9.09
173,2005-06-23,10.41
174,2005-06-24,10.76
175,2005-06-25,12.55
176,2005-06-26,13.94
177,2005-06-27,14.8
178,2005-06-28,11.88
179,2005-06-29,11.93
180,2005-06-30,10.13
181,2005-07-01,15.05
182,2005-07-02,16.58
183,2005-07-03,11.23
184,2005-07-04,7.3
185,2005-07-05,5.18
186,2005-07-06,4.87
187,2005-07-07,8.4
188,2005-07-08,11.26
189,2005-07-09,11.26
190,2005-07-10,13.44
191,2005-07-11,12.93
192,2005-07-12,14.23
193,2005-07-13,15.03
194,2005-07-14,16.83
195,2005-07-15,9.57
196,2005-07-16,6.71
197,2005-07-17,5.94
198,2005-07-18,4.79
199,2005-07-19,5.73
200,2005-07-20,6.83
201,2005-07-21,7.73
202,2005-07-22,8.69
203,2005-07-23,7.55
204,2005-07-24,8.29
205,2005-07-25,9.77
206,2005-07-26,7.77
207,2005-07-27,10.26
208,2005-07-28,10.89
209,2005-07-29,12.87
210,2005-07-30,17.42
211,2005-07-31,13.65
212,2005-08-01,14.16
213,2005-08-02,15.08
214,2005-08-03,15.44
215,2005-08-04,13.94
216,2005-08-05,10.5
217,2005-08-06,7.91
