,fecha,T_mean,T_max,T_min,longitud,latitud
0,2006-01-01,25.33,32.63,18.87,-58.2813,-34.8115
1,2006-01-02,26.41,33.88,19.71,-58.2813,-34.8115
2,2006-01-03,23.12,29.69,17.77,-58.2813,-34.8115
3,2006-01-04,22.88,30.22,16.19,-58.2813,-34.8115
4,2006-01-05,24.97,30.44,19.61,-58.2813,-34.8115
5,2006-01-06,28.1,36.84,21.87,-58.2813,-34.8115
6,2006-01-07,27.69,37.4,19.87,-58.2813,-34.8115
7,2006-01-08,24.15,28.01,20.84,-58.2813,-34.8115
8,2006-01-09,28.26,35.25,21.51,-58.2813,-34.8115
9,2006-01-10,22.91,27.27,18.29,-58.2813,-34.8115
10,2006-01-11,21.01,23.53,18.47,-58.2813,-34.8115
11,2006-01-12,22.84,28.08,17.69,-58.2813,-34.8115
12,2006-01-13,19.68,24.61,16.08,-58.2813,-34.8115
13,2006-01-14,22.88,26.92,18.37,-58.2813,-34.8115
14,2006-01-15,24.4,28.09,20.35,-58.2813,-34.8115
15,2006-01-16,19.79,23.44,16.17,-58.2813,-34.8115
16,2006-01-17,19.48,24.49,14.48,-58.2813,-34.8115
17,2006-01-18,18.2,22.33,13.25,-58.2813,-34.8115
18,2006-01-19,21.73,26.94,16.62,-58.2813,-34.8115
19,2006-01-20,23.91,29.11,18.4,-58.2813,-34.8115
20,2006-01-21,20.7,25.86,15.65,-58.2813,-34.8115
21,2006-01-22,19.68,25.71,13.3,-58.2813,-34.8115
22,2006-01-23,22.12,26.94,17.05,-58.2813,-34.8115
23,2006-01-24,23.57,27.51,20.3,-58.2813,-34.8115
24,2006-01-25,23.23,28.67,18.44,-58.2813,-34.8115
25,2006-01-26,21.63,27.41,15.37,-58.2813,-34.8115
26,2006-01-27,24.31,30.06,18.73,-58.2813,-34.8115
27,2006-01-28,25.94,32.87,18.83,-58.2813,-34.8115
28,2006-01-29,27.05,34.1,20.08,-58.2813,-34.8115
29,2006-01-30,21.25,27.34,15.98,-58.2813,-34.8115
30,2006-01-31,20.22,25.61,14.84,-58.2813,-34.8115
31,2006-02-01,21.07,26.58,18.56,-58.2813,-34.8115
