Año,Mes,Consumo,Cargo fijo,Cargo variable,Precio servicio electrico,Dias,Contri municipal %,IVA %,Imp Sta Cruz %,Coef,Contribucion,subsidio,Total,Tipo,Contribucion comentario,,Precio kWh
2006,2,225,4.44,18.45,22.89,62,6.383,21,0.6,,0,,29.2953087,Bimestral,,0,0.082
2006,4,37,4.44,3.03,7.47,58,6.383,21,0.6,,,,9.5603301,,,0,0.081891891891892
2006,6,254,4.44,20.83,25.27,62,6.383,21,0.6,,,,32.3413041,,,0,0.082007874015748
2006,8,499,4.44,21.46,25.9,62,6.383,21,0.6,,,,33.147597,,,0,0.043006012024048
2006,10,374,16.2,16.08,32.28,62,6.383,21,0.6,,4.3,,45.6129124,,,0,0.042994652406417
2006,12,145,4.44,11.89,16.33,59,6.383,21,0.6,,,,20.8996239,,,0,0.082
2007,2,134,4.44,10.99,15.43,62,6.383,21,0.6,,,,19.7477769,,,0,0.082014925373134
2007,4,207,4.44,16.97,21.41,60,6.383,21,0.6,,,,27.4011603,,,0,0.081980676328502
2007,6,231,4.44,18.94,23.38,60,6.383,21,0.6,,,,29.9224254,,,0,0.081991341991342
2007,8,318,16.2,13.67,29.87,62,6.383,21,0.6,,,,38.2285221,,,0,0.042987421383648
2007,10,266,4.44,21.82,26.26,61,6.383,21,0.6,,,,33.6083358,,,0,0.08203007518797
2007,12,139,4.44,11.4,15.84,62,6.383,21,0.6,,,,20.2725072,,,0,0.082014388489209
2007,2,119,4.44,9.76,14.2,60,6.383,21,0.6,,,,18.173586,,,0,0.082016806722689
2008,4,154,4.44,12.63,17.07,60,6.383,21,0.6,,,,21.8466981,,,0,0.082012987012987
2008,6,292,4.44,23.94,28.38,64,6.383,21,0.6,,-5.25,,31.0715754,,,0,0.081986301369863
2008,8,510,16.2,21.93,38.13,62,6.383,21,0.6,,9.63,,58.4299179,,,0,0.043
2008,10,490,16.2,21.07,37.27,58,6.383,21,0.6,,10.02,,57.7192641,,,0,0.043
2008,12,246,4.44,20.17,24.61,61,6.383,21,0.6,,,,31.4966163,,,0,0.081991869918699
2008,2,217,4.44,17.79,22.23,63,6.383,21,0.6,,,,28.4506209,,,0,0.081981566820277
2008,4,284,16.2,12.21,28.41,57,6.383,21,0.6,,1.38,,37.7399703,,,0,0.042992957746479
2009,6,264,4.44,21.65,26.09,61,6.383,21,0.6,,,,33.3907647,,,0,0.082007575757576
2009,8,578,16.2,24.85,41.05,64,6.383,21,0.6,,12.17,,64.7070215,,,0,0.042993079584775
2009,10,436,16.2,84.15,100.35,58,6.383,21,0.6,,7.7,65.4,52.4300585,,,0.651718983557549,0.193004587155963
2009,12,288,4.44,62.21,66.65,62,6.383,21,0.6,,,38.59,35.9120298,,,0.578994748687172,0.216006944444444
2009,2,253,4.44,54.65,59.09,63,6.383,21,0.6,,,33.9,32.2389177,,,0.573701133863598,0.21600790513834
