Año,Mes,Inflacion,,Inflación acumulada,,Inflación annual,,Fuente
2006,Enero,1.2,0,1.012,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2006,Febrero,0.4,0,1.016048,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2006,Marzo,1.2,0,1.028240576,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2006,Abril,1.1,0,1.039551222336,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2006,Mayo,0.5,0,1.04474897844768,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2006,Junio,0.5,0,1.04997272333992,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2006,Julio,0.6,0,1.05627255967996,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2006,Agosto,0.4,0,1.06049764991868,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2006,Septiembre,0.9,0,1.07004212876795,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2006,Octubre,1,0,1.08074255005563,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2006,Noviembre,0.9,0,1.09046923300613,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2006,Diciembre,1.6,1,1.10791674073422,,1.10791674073422,2006,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2007,Enero,1.1,0,1.011,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2007,Febrero,0.9,0,1.020099,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2007,Marzo,0.9,0,1.029279891,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2007,Abril,2,0,1.04986548882,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2007,Mayo,2.2,0,1.07296252957404,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2007,Junio,2.1,0,1.09549474269509,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2007,Julio,3.1,0,1.12945507971864,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2007,Agosto,3.7,0,1.17124491766823,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2007,Septiembre,2.6,0,1.20169728552761,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2007,Octubre,2.5,0,1.2317397176658,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2007,Noviembre,0.9,0,1.24282537512479,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2007,Diciembre,0.8,1,1.25276797812579,,1.25276797812579,2007,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2008,Enero,1,0,1.01,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2008,Febrero,2.4,0,1.03424,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2008,Marzo,3.3,0,1.06836992,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
2008,Abril,3,0,1.1004210176,,0,0,https://cyt-ar.com.ar/cyt-ar/images/3/34/IPC_7_Provincias_CENDA_a_mar-2011.pdf
