month,empresa,type,cargo_fijo_unidad,cargo_fijo,cargo_var_unidad,cargo_var
08-2022,EDENOR,Tarifa 1 -R6,$/mes,622.72,$/kWh,4.898
08-2022,EDESUR,Tarifa 1 -R6,$/mes,597.55,$/kWh,4.879
07-2022,EDENOR,Tarifa 1 -R6,$/mes,622.72,$/kWh,4.898
07-2022,EDESUR,Tarifa 1 -R6,$/mes,597.55,$/kWh,4.879
06-2022,EDENOR,Tarifa 1 -R6,$/mes,622.72,$/kWh,4.898
06-2022,EDESUR,Tarifa 1 -R6,$/mes,597.55,$/kWh,4.879
05-2022,EDENOR,Tarifa 1 -R6,$/mes,622.72,$/kWh,4.2
05-2022,EDESUR,Tarifa 1 -R6,$/mes,597.55,$/kWh,4.182
04-2022,EDENOR,Tarifa 1 -R6,$/mes,622.72,$/kWh,4.2
04-2022,EDESUR,Tarifa 1 -R6,$/mes,597.55,$/kWh,4.182
03-2022,EDENOR,Tarifa 1 -R6,$/mes,622.72,$/kWh,4.2
03-2022,EDESUR,Tarifa 1 -R6,$/mes,597.55,$/kWh,4.182
02-2022,EDENOR,Tarifa 1 -R6,$/mes,576.6,$/kWh,3.43
02-2022,EDESUR,Tarifa 1 -R6,$/mes,553.29,$/kWh,3.413
01-2022,EDENOR,Tarifa 1 -R6,$/mes,576.6,$/kWh,3.43
01-2022,EDESUR,Tarifa 1 -R6,$/mes,553.29,$/kWh,3.413
12-2021,EDENOR,Tarifa 1 -R6,$/mes,576.6,$/kWh,3.43
12-2021,EDESUR,Tarifa 1 -R6,$/mes,553.29,$/kWh,3.413
11-2021,EDENOR,Tarifa 1 -R6,$/mes,576.6,$/kWh,3.43
11-2021,EDESUR,Tarifa 1 -R6,$/mes,553.29,$/kWh,3.413
10-2021,EDENOR,Tarifa 1 -R6,$/mes,576.6,$/kWh,3.43
10-2021,EDESUR,Tarifa 1 -R6,$/mes,553.29,$/kWh,3.413
09-2021,EDENOR,Tarifa 1 -R6,$/mes,576.6,$/kWh,3.43
09-2021,EDESUR,Tarifa 1 -R6,$/mes,553.29,$/kWh,3.413
08-2021,EDENOR,Tarifa 1 -R6,$/mes,576.6,$/kWh,3.43
08-2021,EDESUR,Tarifa 1 -R6,$/mes,553.29,$/kWh,3.413
07-2021,EDENOR,Tarifa 1 -R6,$/mes,576.6,$/kWh,3.43
07-2021,EDESUR,Tarifa 1 -R6,$/mes,553.29,$/kWh,3.413
06-2021,EDENOR,Tarifa 1 -R6,$/mes,576.6,$/kWh,3.43
06-2021,EDESUR,Tarifa 1 -R6,$/mes,553.29,$/kWh,3.413
05-2021,EDENOR,Tarifa 1 -R6,$/mes,576.6,$/kWh,3.43
05-2021,EDESUR,Tarifa 1 -R6,$/mes,553.29,$/kWh,3.413
04-2021,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.299
04-2021,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.277
03-2021,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
03-2021,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
02-2021,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
02-2021,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
01-2021,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
01-2021,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
12-2020,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
12-2020,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
11-2020,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
11-2020,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
10-2020,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
10-2020,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
09-2020,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
09-2020,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
08-2020,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
08-2020,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
07-2020,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
07-2020,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
06-2020,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
06-2020,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
05-2020,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
05-2020,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
04-2020,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
04-2020,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
03-2020,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
03-2020,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
02-2020,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
02-2020,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
01-2020,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
01-2020,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
12-2019,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
12-2019,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
11-2019,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
11-2019,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
10-2019,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
10-2019,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
09-2019,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
09-2019,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
08-2019,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
08-2019,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
07-2019,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
07-2019,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
06-2019,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
06-2019,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
05-2019,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
05-2019,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
04-2019,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
04-2019,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
03-2019,EDENOR,Tarifa 1 -R6,$/mes,443.46,$/kWh,3.208
03-2019,EDESUR,Tarifa 1 -R6,$/mes,428.66,$/kWh,3.187
02-2019,EDENOR,Tarifa 1 -R6,$/mes,321.94,$/kWh,2.937
02-2019,EDESUR,Tarifa 1 -R6,$/mes,316.0,$/kWh,2.918
01-2019,EDENOR,Tarifa 1 -R6,$/mes,321.94,$/kWh,2.227
01-2019,EDESUR,Tarifa 1 -R6,$/mes,316.0,$/kWh,2.211
12-2018,EDENOR,Tarifa 1 -R6,$/mes,321.94,$/kWh,2.227
